x1,x2,year,count,url
She Cried,Jay & The Americans,1962,3,/jay-&-the-americans/she-cried/
She's Not You,Elvis Presley With The Jordanaires,1962,5,/elvis-presley-with-the-jordanaires/she's-not-you/
Sheila,Tommy Roe,1962,6,/tommy-roe/sheila/
Sherry,The 4 Seasons,1962,7,/the-4-seasons/sherry/
Shop Around,"The Miracles (featuring Bill ""Smokey"" Robinson)",1961,6,"/the-miracles-(featuring-bill-""smokey""-robinson)/shop-around/"
Shout - Part I,Joey Dee & the Starliters,1962,4,/joey-dee-&-the-starliters/shout---part-i/
Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962,3,/ernie-maresca/shout!-shout!-(knock-yourself-out)/
Sink The Bismark,Johnny Horton,1960,7,/johnny-horton/sink-the-bismark/
Sixteen Reasons,Connie Stevens,1960,7,/connie-stevens/sixteen-reasons/
Sleep Walk,Santo & Johnny,1959,9,/santo-&-johnny/sleep-walk/
Slow Twistin',Chubby Checker (with Dee Dee Sharp),1962,7,/chubby-checker-(with-dee-dee-sharp)/slow-twistin'/
Smoke Gets In Your Eyes,The Platters,1959,7,/the-platters/smoke-gets-in-your-eyes/
Snap Your Fingers,Joe Henderson,1962,1,/joe-henderson/snap-your-fingers/
So Many Ways,Brook Benton,1959,5,/brook-benton/so-many-ways/
So Sad (To Watch Good Love Go Bad),The Everly Brothers,1960,5,/the-everly-brothers/so-sad-(to-watch-good-love-go-bad)/
Soldier Boy,The Shirelles,1962,8,/the-shirelles/soldier-boy/
Sorry (I Ran All The Way Home),The Impalas,1959,7,/the-impalas/sorry-(i-ran-all-the-way-home)/
Spanish Harlem,Ben E. King,1961,1,/ben-e.-king/spanish-harlem/
Speedy Gonzales,Pat Boone,1962,5,/pat-boone/speedy-gonzales/
Stagger Lee,Lloyd Price,1959,10,/lloyd-price/stagger-lee/
Stairway To Heaven,Neil Sedaka,1960,1,/neil-sedaka/stairway-to-heaven/
Stand By Me,Ben E. King,1961,4,/ben-e.-king/stand-by-me/
Stay,Maurice Williams & The Zodiacs,1960,5,/maurice-williams-&-the-zodiacs/stay/
Stranger On The Shore,Mr. Acker Bilk,1962,11,/mr.-acker-bilk/stranger-on-the-shore/
Stuck On You,Elvis Presley With The Jordanaires,1960,10,/elvis-presley-with-the-jordanaires/stuck-on-you/
Surrender,Elvis Presley With The Jordanaires,1961,8,/elvis-presley-with-the-jordanaires/surrender/
Sweet Nothin's,Brenda Lee,1960,7,/brenda-lee/sweet-nothin's/
Sweeter Than You,Ricky Nelson,1959,1,/ricky-nelson/sweeter-than-you/
